iter	Passed	Remaining
0	154	154762
1	156	78131
2	158	52543
3	159	39752
4	161	32044
5	162	26950
6	164	23363
7	166	20602
8	167	18447
9	169	16779
10	171	15376
11	172	14202
12	173	13206
13	176	12406
14	177	11682
15	178	10999
16	180	10409
17	181	9885
18	182	9406
19	183	8983
20	184	8601
21	185	8250
22	186	7934
23	187	7625
24	188	7349
25	189	7088
26	190	6857
27	191	6636
28	192	6432
29	193	6242
30	194	6083
31	196	5929
32	196	5772
33	197	5623
34	198	5480
35	199	5346
36	200	5218
37	201	5102
38	202	4994
39	203	4884
40	204	4782
41	205	4688
42	207	4617
43	208	4530
44	209	4444
45	210	4374
46	211	4294
47	212	4217
48	214	4163
49	215	4096
50	217	4041
51	218	3976
52	219	3913
53	219	3852
54	220	3793
55	222	3755
56	224	3714
57	225	3666
58	226	3619
59	228	3572
60	229	3528
61	230	3482
62	231	3441
63	232	3401
64	233	3360
65	234	3323
66	235	3284
67	238	3265
68	239	3227
69	240	3189
70	241	3157
71	242	3123
72	243	3091
73	244	3059
74	245	3028
75	246	2997
76	247	2966
77	248	2935
78	249	2906
79	250	2879
80	251	2851
81	252	2828
82	253	2800
83	255	2780
84	256	2757
85	257	2733
86	258	2709
87	259	2685
88	260	2662
89	261	2639
90	262	2617
91	263	2595
92	264	2575
93	265	2555
94	266	2538
95	268	2528
96	269	2509
97	270	2490
98	271	2471
99	272	2453
100	273	2435
101	274	2417
102	275	2400
103	276	2382
104	277	2365
105	278	2349
106	279	2333
107	280	2318
108	281	2303
109	283	2292
110	284	2277
111	285	2263
112	286	2249
113	287	2234
114	288	2221
115	289	2207
116	290	2192
117	291	2179
118	292	2165
119	293	2153
120	294	2140
121	295	2126
122	296	2114
123	297	2104
124	299	2093
125	300	2082
126	301	2069
127	302	2058
128	303	2046
129	304	2036
130	305	2025
131	306	2014
132	307	2003
133	308	1994
134	309	1983
135	310	1973
136	311	1963
137	313	1955
138	314	1946
139	315	1936
140	316	1927
141	317	1915
142	318	1906
143	319	1896
144	320	1886
145	320	1877
146	321	1868
147	323	1860
148	324	1852
149	325	1844
150	326	1835
151	327	1828
152	329	1821
153	330	1813
154	331	1805
155	332	1798
156	333	1790
157	334	1782
158	335	1774
159	336	1767
160	337	1758
161	338	1750
162	339	1743
163	340	1736
164	341	1729
165	342	1722
166	344	1715
167	345	1708
168	346	1701
169	347	1694
170	348	1687
171	349	1681
172	350	1675
173	351	1669
174	352	1664
175	353	1657
176	355	1650
177	356	1644
178	357	1637
179	358	1633
180	359	1627
181	360	1621
182	361	1614
183	362	1607
184	363	1601
185	364	1595
186	365	1589
187	366	1584
188	367	1578
189	368	1572
190	369	1566
191	370	1560
192	371	1555
193	373	1551
194	374	1545
195	375	1540
196	376	1534
197	377	1529
198	378	1524
